Wage,AFQT,Educ,Exper,Age,Meduc,Logwage
874,132,13,8,33,13,6.77308
1127,98,12,17,36,14,7.027315
1151,90,12,19,36,12,7.048387
990,67,12,16,34,8,6.897705
2162,116,15,9,31,12,7.678789
1250,117,16,10,33,12,7.130899
1304,119,17,9,31,13,7.173192
855,99,12,19,36,12,6.751101
1160,92,12,8,31,12,7.056175
1161,121,12,5,34,10,7.057037
1200,119,16,11,30,10,7.090077
1039,114,16,1,31,8,6.946014
800,88,12,16,38,2,6.684612
673,85,12,17,35,12,6.511745
1679,127,18,10,32,12,7.425954
1100,104,12,18,37,11,7.003066
686,106,10,15,36,14,6.530878
393,92,12,15,38,8,5.97381
923,123,14,8,31,8,6.827629
817,101,16,11,32,0,6.705639
761,95,12,14,38,12,6.634634
1371,128,18,8,36,16,7.223296
1333,106,15,5,30,12,7.195187
1154,88,12,14,29,12,7.05099
1000,93,11,11,29,12,6.907755
1250,102,13,13,30,7,7.130899
909,95,13,6,31,12,6.812345
1924,112,16,17,38,12,7.562161
1186,91,17,8,33,12,7.078341
2310,114,18,12,38,12,7.745003
800,115,18,11,35,8,6.684612
864,87,12,15,31,12,6.761573
1274,106,13,11,31,15,7.149917
350,116,16,5,33,11,5.857933
1009,118,16,11,32,12,6.916715
951,86,11,13,31,9,6.857514
900,80,10,15,38,12,6.802395
450,79,10,20,36,12,6.109248
629,93,12,6,30,10,6.444131
1250,96,12,19,38,12,7.130899
875,124,16,9,31,17,6.774224
471,101,12,13,31,8,6.154858
1202,102,13,10,31,8,7.091742
1384,114,18,12,37,12,7.232733
1312,118,10,14,32,12,7.179308
940,104,12,13,32,12,6.84588
566,104,16,5,32,12,6.338594
900,125,15,4,30,12,6.802395
418,76,12,12,31,9,6.035481
515,114,13,8,28,12,6.244167
765,94,12,17,37,4,6.639876
1082,111,13,20,36,8,6.986567
1035,107,12,21,38,11,6.942157
1100,122,14,11,33,8,7.003066
1100,105,12,22,38,12,7.003066
1196,96,14,10,32,10,7.086738
881,90,12,4,36,12,6.781058
1000,110,12,6,37,8,6.907755
1034,97,12,15,36,14,6.94119
1050,97,15,4,31,16,6.956545
940,98,18,10,31,8,6.84588
650,96,12,13,32,12,6.476973
769,98,16,8,35,11,6.645091
537,97,12,14,31,11,6.285998
616,104,12,16,35,9,6.423247
1250,114,16,8,30,2,7.130899
692,95,12,16,34,7,6.539586
2500,95,15,12,36,16,7.824046
625,72,9,17,34,4,6.437752
1031,112,14,9,29,12,6.938284
1270,118,14,4,36,12,7.146772
1339,96,12,8,33,12,7.199678
650,97,10,14,30,12,6.476973
700,81,12,13,31,8,6.55108
550,77,12,15,37,8,6.309918
762,104,15,6,33,11,6.635947
1710,118,18,12,38,12,7.444249
796,119,13,16,37,11,6.679599
1198,117,16,7,30,12,7.088409
1699,100,12,11,33,12,7.437795
2404,106,15,8,32,12,7.784889
511,101,12,13,30,11,6.23637
1001,109,12,20,37,8,6.908755
1442,112,12,19,36,10,7.273787
1000,105,12,11,28,12,6.907755
760,88,12,12,31,12,6.633318
606,100,18,6,30,12,6.40688
800,122,16,10,31,12,6.684612
913,110,14,4,29,9,6.816736
1000,104,16,11,30,12,6.907755
790,115,12,15,34,6,6.672033
1366,90,12,13,30,12,7.219642
1375,96,13,3,30,11,7.226209
1744,106,16,8,29,12,7.463937
1586,92,14,16,36,12,7.36897
596,83,12,16,34,8,6.390241
1004,81,12,17,34,12,6.911747
510,62,11,13,33,2,6.234411
962,109,12,21,37,6,6.869014
800,112,12,15,34,7,6.684612
841,109,18,13,36,16,6.734591
1000,72,12,16,34,12,6.907755
440,84,12,11,30,9,6.086775
586,111,18,6,34,12,6.37332
1682,115,16,10,37,12,7.427739
560,112,16,13,32,8,6.327937
1500,124,16,6,29,12,7.313221
1200,109,15,7,33,11,7.090077
900,78,12,16,33,7,6.802395
400,90,10,12,32,8,5.991465
478,90,10,19,34,9,6.169611
770,80,12,16,35,12,6.64639
1400,108,17,7,31,12,7.244227
962,110,12,16,33,10,6.869014
625,115,12,12,31,12,6.437752
1038,119,12,20,36,12,6.945051
562,99,12,18,34,12,6.331502
635,105,12,15,33,10,6.453625
1143,97,12,21,38,12,7.041412
884,120,17,4,36,12,6.784457
750,94,14,12,33,11,6.620073
480,59,10,11,34,8,6.173786
729,80,11,16,34,12,6.591674
625,129,18,4,36,15,6.437752
1133,106,16,13,36,12,7.032624
909,102,12,14,33,12,6.812345
1920,109,12,13,31,12,7.560081
2099,119,16,10,32,12,7.649216
1384,104,13,8,31,13,7.232733
891,90,12,16,32,12,6.792345
975,87,9,20,37,5,6.882438
1130,109,18,4,38,18,7.029973
1442,117,16,9,31,12,7.273787
915,114,12,17,37,10,6.818924
500,90,12,19,37,12,6.214608
729,122,18,6,34,8,6.591674
1175,111,12,17,34,16,7.069024
684,111,14,7,29,12,6.527958
1832,97,12,16,36,8,7.513164
1025,85,15,9,29,14,6.932448
812,81,10,17,34,8,6.699501
1620,111,15,8,29,10,7.390182
769,105,18,7,38,9,6.645091
1084,95,15,17,37,16,6.988413
684,106,13,16,38,12,6.527958
450,94,15,9,31,12,6.109248
685,93,12,17,38,8,6.529419
642,87,13,9,30,4,6.464588
624,92,10,18,36,10,6.436151
675,105,15,8,31,14,6.514713
1026,125,12,11,28,14,6.933423
1318,119,16,7,28,10,7.183871
879,90,12,17,35,12,6.778785
1250,125,16,9,30,16,7.130899
1155,85,12,14,34,12,7.051856
549,79,12,11,32,8,6.308098
1924,105,16,14,36,12,7.562161
1539,111,17,10,37,12,7.338888
1015,67,12,15,32,9,6.922644
1550,104,12,16,34,9,7.34601
1366,122,12,15,32,12,7.219642
926,64,12,18,38,0,6.830874
1200,103,14,5,30,6,7.090077
832,104,13,4,30,12,6.723833
635,91,12,13,31,7,6.453625
841,102,16,10,29,12,6.734591
1001,137,13,11,33,12,6.908755
1154,134,18,10,37,12,7.05099
651,76,11,11,29,10,6.478509
1188,93,13,16,35,12,7.080027
1000,123,12,12,29,12,6.907755
1027,100,13,12,38,10,6.934397
1014,110,16,13,30,12,6.921658
2308,116,17,8,38,12,7.744137
1190,119,17,4,34,12,7.081708
1749,101,12,16,36,12,7.466799
1442,123,17,14,38,12,7.273787
1154,94,16,11,33,12,7.05099
754,104,13,9,32,8,6.625392
1541,94,12,8,32,12,7.340187
1200,84,12,13,32,6,7.090077
1559,103,12,17,34,8,7.3518
1075,103,12,17,33,11,6.980076
480,83,12,9,37,10,6.173786
808,101,18,8,38,17,6.694562
664,82,16,10,34,16,6.498282
417,80,12,8,30,8,6.033086
654,111,13,5,38,12,6.483108
1239,109,12,16,38,12,7.12206
930,132,18,8,38,13,6.835185
1250,115,14,9,29,12,7.130899
1100,92,13,21,38,12,7.003066
711,110,16,8,32,13,6.566672
751,104,12,15,34,8,6.621406
1170,123,14,9,32,8,7.064759
1778,109,16,14,36,11,7.483244
658,129,16,11,30,13,6.489205
660,101,16,12,31,12,6.49224
425,86,10,7,30,3,6.052089
1299,125,18,6,35,8,7.16935
1200,97,12,10,31,12,7.090077
2162,115,17,4,38,12,7.678789
1154,109,16,10,35,16,7.05099
1031,112,14,14,33,14,6.938284
642,93,12,12,30,6,6.464588
779,85,12,14,37,12,6.658011
1730,117,18,12,37,12,7.455877
1682,107,14,15,32,12,7.427739
854,120,16,8,29,12,6.749931
865,110,16,1,31,9,6.76273
670,93,13,9,29,12,6.507277
1065,104,16,10,34,11,6.97073
465,84,13,10,29,11,6.142037
623,98,16,7,30,12,6.434546
500,96,12,6,33,12,6.214608
1924,112,18,9,38,16,7.562161
930,126,14,10,31,8,6.835185
1126,110,12,16,32,9,7.026427
1105,93,11,17,37,8,7.007601
1000,103,15,8,32,12,6.907755
721,100,12,8,29,12,6.580639
800,88,10,21,37,11,6.684612
610,89,12,14,30,7,6.413459
1212,129,14,9,32,8,7.100027
1325,97,12,12,28,12,7.189168
1000,89,12,17,38,1,6.907755
1107,112,12,12,38,11,7.009409
960,83,13,14,32,10,6.866933
727,106,15,10,31,12,6.588926
577,106,17,11,33,13,6.357842
1643,117,18,8,33,12,7.404279
841,106,12,15,31,8,6.734591
400,68,12,4,31,6,5.991465
500,98,13,14,32,12,6.214608
913,101,16,5,31,12,6.816736
2500,82,12,21,38,8,7.824046
1235,82,12,10,33,11,7.118826
1010,97,18,7,34,14,6.917706
817,116,16,10,31,16,6.705639
745,94,13,17,36,13,6.613384
1154,98,14,18,37,10,7.05099
571,66,9,15,33,8,6.347389
477,100,12,9,31,7,6.167517
606,86,11,13,30,3,6.40688
750,106,14,9,29,11,6.620073
1282,96,18,7,32,12,7.156177
550,95,12,14,31,5,6.309918
1346,106,16,15,37,8,7.204893
817,95,12,16,33,12,6.705639
1417,88,16,9,32,12,7.256297
962,85,10,15,38,9,6.869014
1188,105,12,11,30,12,7.080027
556,69,11,13,34,8,6.320768
540,113,12,12,31,6,6.291569
1300,100,12,13,31,11,7.17012
978,89,12,17,38,12,6.885509
672,96,12,13,34,12,6.510258
525,106,12,12,30,10,6.263398
357,97,14,6,28,13,5.877736
714,105,16,9,29,13,6.570883
890,92,14,9,32,7,6.791222
1160,74,12,14,33,3,7.056175
529,110,13,14,32,12,6.270988
950,85,15,8,29,12,6.856462
1058,89,12,7,29,8,6.964136
619,93,12,10,28,9,6.428105
625,73,11,1,31,12,6.437752
1899,127,18,9,36,10,7.549083
975,101,13,12,30,12,6.882438
1250,92,16,10,32,12,7.130899
1903,118,18,13,36,11,7.551187
1411,121,18,14,38,12,7.252054
1049,122,16,7,33,10,6.955593
812,98,12,10,29,12,6.699501
666,104,12,10,29,12,6.50129
829,98,12,15,36,8,6.72022
1200,79,17,9,32,8,7.090077
1522,102,12,15,37,12,7.327781
1082,95,12,11,29,11,6.986567
815,114,12,15,31,12,6.703188
450,63,11,12,31,7,6.109248
788,99,12,10,28,10,6.669498
1111,118,15,11,32,11,7.013016
921,102,14,9,33,16,6.82546
233,96,16,7,30,12,5.451038
600,96,11,7,29,8,6.39693
812,131,16,9,30,12,6.699501
543,90,14,5,38,6,6.297109
618,104,12,6,30,8,6.426488
750,50,12,14,32,3,6.620073
1000,118,14,9,30,12,6.907755
769,105,12,16,33,7,6.645091
1241,83,13,9,33,12,7.123673
1039,113,14,12,34,16,6.946014
1400,116,16,14,35,8,7.244227
1250,98,12,17,33,14,7.130899
962,97,12,15,34,10,6.869014
625,108,13,11,30,12,6.437752
1749,108,12,13,29,12,7.466799
912,96,16,11,30,14,6.81564
938,108,12,19,38,8,6.84375
664,105,12,8,29,12,6.498282
1444,120,16,12,37,17,7.275172
830,105,14,4,29,12,6.721426
650,100,12,4,28,9,6.476973
1070,91,12,13,30,14,6.975414
923,110,16,15,37,12,6.827629
929,97,13,12,30,12,6.834109
950,96,16,8,32,10,6.856462
325,113,12,11,29,10,5.783825
876,116,16,10,29,12,6.775366
1072,104,16,6,35,12,6.977282
325,93,14,10,33,16,5.783825
1318,122,17,10,33,12,7.183871
2137,108,16,11,36,12,7.667158
882,96,12,15,31,8,6.782192
1473,110,16,15,36,12,7.295056
1026,105,16,12,35,14,6.933423
492,67,12,15,34,8,6.198479
600,116,12,20,38,8,6.39693
692,120,12,17,35,8,6.539586
666,89,12,16,34,9,6.50129
1212,95,12,6,38,12,7.100027
769,100,12,18,36,8,6.645091
1000,103,12,9,29,11,6.907755
945,87,12,12,38,8,6.851185
1779,132,17,8,32,17,7.483807
1211,92,12,13,31,16,7.099202
583,94,14,10,37,12,6.368187
1368,107,16,11,33,16,7.221105
1411,111,16,11,32,12,7.252054
1424,98,14,15,35,12,7.261225
866,114,13,15,37,12,6.763885
2137,120,16,16,37,12,7.667158
981,122,14,9,35,12,6.888573
2404,96,14,1,36,8,7.784889
433,98,12,11,30,12,6.070738
850,105,12,6,33,12,6.745236
575,116,12,11,29,8,6.35437
988,91,12,15,36,8,6.895683
1154,116,15,11,34,12,7.05099
1300,78,13,12,33,12,7.17012
583,86,12,9,30,12,6.368187
950,81,11,16,35,10,6.856462
737,103,12,7,30,10,6.602588
875,95,12,16,38,6,6.774224
350,93,12,16,33,12,5.857933
721,134,13,9,30,8,6.580639
800,105,14,12,37,10,6.684612
865,66,11,10,30,0,6.76273
600,114,12,8,30,8,6.39693
1313,107,12,11,28,12,7.18007
1105,119,16,9,30,11,7.007601
1386,109,16,10,34,4,7.234177
1063,90,12,14,32,8,6.968851
1000,93,11,16,34,12,6.907755
